,Age,Industry,Salary,Currency,Country,State,Years Total,Years Specific,Education,Gender,Race,Senority
253,35-44,Nonprofits,120000,USD,United States,California,11 - 20 years,11 - 20 years,College degree,Woman,White,Executive Level
254,25-34,Education (Higher Education),28000,USD,United States,New Jersey,2 - 4 years,2 - 4 years,Master's degree,Non-binary,White,Mid Level
255,55-64,Recruitment or HR,135000,USD,United States,Illinois,31 - 40 years,31 - 40 years,College degree,Woman,White,Mid Level
256,35-44,Education (Higher Education),40575,USD,United States,Washington,8 - 10 years,8 - 10 years,College degree,Woman,White,Mid Level
257,25-34,Nonprofits,75500,USD,United States,North Carolina,8 - 10 years,8 - 10 years,Master's degree,Woman,White,Senior Level
258,25-34,"Marketing, Advertising & PR",127000,USD,United States,Pennsylvania,5-7 years,5-7 years,College degree,Woman,White,Mid Level
259,35-44,Government and Public Administration,70000,USD,United States,Massachusetts,8 - 10 years,5-7 years,Master's degree,Woman,White,Mid Level
260,25-34,Computing or Tech,111400,USD,United States,Illinois,5-7 years,5-7 years,College degree,Woman,White,Mid Level
261,18-24,Agriculture or Forestry,29000,USD,United States,South Dakota,1 year or less,1 year or less,Some college,Woman,White,Mid Level
262,55-64,"Marketing, Advertising & PR",61000,USD,United States,Illinois,31 - 40 years,31 - 40 years,College degree,Woman,White,Mid Level
263,55-64,Nonprofits,47250,USD,United States,West Virginia,11 - 20 years,5-7 years,Master's degree,Woman,White,Mid Level
264,35-44,Engineering or Manufacturing,100000,USD,United States,Minnesota,11 - 20 years,11 - 20 years,Some college,Man,White,Senior Level
265,35-44,Computing or Tech,279656,USD,Germany,,21 - 30 years,11 - 20 years,High School,Non-binary,White,Mid Level
266,35-44,Nonprofits,45000,USD,United States,Pennsylvania,11 - 20 years,11 - 20 years,College degree,Woman,White,Mid Level
268,25-34,Government and Public Administration,78167,USD,United States,District of Columbia,5-7 years,5-7 years,Master's degree,Woman,White,Mid Level
269,25-34,"Accounting, Banking & Finance",187500,USD,United States,New York,8 - 10 years,8 - 10 years,College degree,Woman,White,Managerial Level
270,45-54,Computing or Tech,124000,USD,United States,Tennessee,21 - 30 years,21 - 30 years,Master's degree,Woman,White,Managerial Level
271,45-54,"Marketing, Advertising & PR",108000,USD,United States,Minnesota,21 - 30 years,21 - 30 years,College degree,Man,White,Senior Level
272,35-44,"Accounting, Banking & Finance",115000,USD,United States,North Carolina,11 - 20 years,11 - 20 years,Master's degree,Woman,White,Mid Level
273,35-44,Education (Higher Education),83000,USD,United States,Arizona,11 - 20 years,5-7 years,Master's degree,Woman,White,Executive Level
274,25-34,Engineering or Manufacturing,124000,USD,United States,,8 - 10 years,8 - 10 years,Master's degree,Woman,White,Mid Level
275,25-34,Education (Higher Education),45000,USD,United States,Illinois,5-7 years,5-7 years,Master's degree,Woman,White,Mid Level
276,25-34,Government and Public Administration,93000,USD,United States,District of Columbia,11 - 20 years,5-7 years,PhD,Woman,White,Mid Level
277,35-44,Engineering or Manufacturing,134550,USD,United States,Minnesota,11 - 20 years,11 - 20 years,Master's degree,Woman,White,Managerial Level
278,45-54,Insurance,66000,USD,United States,,21 - 30 years,21 - 30 years,Some college,Woman,White,Mid Level
279,35-44,Education (Higher Education),71697,USD,United States,Pennsylvania,8 - 10 years,5-7 years,Master's degree,Woman,White,Mid Level
281,35-44,Education (Higher Education),120000,USD,United States,Massachusetts,11 - 20 years,11 - 20 years,College degree,Woman,White,Executive Level
282,25-34,Education (Higher Education),52000,USD,United States,New York,5-7 years,5-7 years,Master's degree,Non-binary,"Hispanic, Latino, or Spanish origin",Mid Level
283,25-34,Property or Construction,44692,USD,United States,,8 - 10 years,8 - 10 years,Some college,Woman,White,Mid Level
284,35-44,Transport or Logistics,85000,USD,United States,New York,21 - 30 years,21 - 30 years,High School,Woman,White,Executive Level
285,25-34,Transport or Logistics,56000,USD,United States,Illinois,8 - 10 years,5-7 years,Some college,Woman,White,Mid Level
286,45-54,Engineering or Manufacturing,49840,USD,United States,California,21 - 30 years,21 - 30 years,College degree,Man,Asian or Asian American,Mid Level
288,45-54,Computing or Tech,150000,USD,United States,Massachusetts,21 - 30 years,21 - 30 years,Master's degree,Woman,White,Managerial Level
290,25-34,"Accounting, Banking & Finance",105000,USD,United States,New York,2 - 4 years,2 - 4 years,College degree,Woman,Asian or Asian American,Mid Level
291,35-44,Engineering or Manufacturing,105500,USD,United States,Illinois,11 - 20 years,11 - 20 years,Master's degree,Woman,Asian or Asian American,Managerial Level
292,25-34,"Accounting, Banking & Finance",150000,USD,United States,Texas,5-7 years,5-7 years,College degree,Man,White,Mid Level
293,45-54,Health care,125000,USD,United States,Massachusetts,21 - 30 years,8 - 10 years,College degree,Woman,White,Senior Level
294,35-44,Government and Public Administration,62999,USD,United States,Wisconsin,11 - 20 years,11 - 20 years,Master's degree,Woman,White,Executive Level
295,25-34,Sales,127192,USD,United States,,8 - 10 years,5-7 years,College degree,Woman,White,Managerial Level
298,25-34,Government and Public Administration,112000,USD,United States,Maryland,5-7 years,5-7 years,Master's degree,Woman,White,Mid Level
299,45-54,Education (Higher Education),68683,USD,United Kingdom,,21 - 30 years,21 - 30 years,PhD,Woman,White,Junior Level
300,45-54,Media & Digital,120000,USD,United States,Georgia,21 - 30 years,21 - 30 years,Master's degree,Woman,Black or African American,Mid Level
301,25-34,Education (Higher Education),51656,USD,United States,,8 - 10 years,5-7 years,College degree,Woman,White,Mid Level
304,25-34,Education (Higher Education),42149,USD,United States,,5-7 years,2 - 4 years,College degree,Woman,White,Mid Level
305,25-34,Government and Public Administration,42149,USD,United States,,8 - 10 years,5-7 years,Some college,Woman,White,Mid Level
306,18-24,"Accounting, Banking & Finance",45000,USD,United States,Indiana,1 year or less,1 year or less,College degree,Woman,White,Mid Level
307,35-44,Government and Public Administration,75000,USD,United States,Massachusetts,8 - 10 years,8 - 10 years,Master's degree,Woman,White,Executive Level
308,25-34,Recruitment or HR,115000,USD,United States,Massachusetts,5-7 years,5-7 years,College degree,Man,White,Managerial Level
309,25-34,Transport or Logistics,35107,USD,Ireland,,2 - 4 years,2 - 4 years,Master's degree,Woman,White,Executive Level
310,35-44,Agriculture or Forestry,17000,USD,United States,Pennsylvania,11 - 20 years,5-7 years,Master's degree,Non-binary,White,Mid Level
311,25-34,Government and Public Administration,64000,USD,United States,Maryland,5-7 years,1 year or less,College degree,Woman,Black or African American,Mid Level
312,55-64,Property or Construction,66000,USD,United States,Texas,31 - 40 years,21 - 30 years,College degree,Woman,White,Managerial Level
313,45-54,Engineering or Manufacturing,84000,USD,United States,Pennsylvania,21 - 30 years,11 - 20 years,College degree,Woman,White,Managerial Level
314,25-34,Government and Public Administration,78000,USD,United States,New York,5-7 years,2 - 4 years,Master's degree,Woman,White,Mid Level
315,18-24,Law,70000,USD,United States,Minnesota,2 - 4 years,2 - 4 years,Master's degree,Woman,White,Mid Level
316,65 or over,Health care,120000,USD,United States,Wisconsin,41 years or more,31 - 40 years,Master's degree,Woman,White,Mid Level
317,35-44,"Accounting, Banking & Finance",114400,USD,United States,Virginia,21 - 30 years,11 - 20 years,College degree,Woman,White,Mid Level
318,25-34,Recruitment or HR,111500,USD,United States,Idaho,11 - 20 years,11 - 20 years,Master's degree,Woman,White,Senior Level
319,25-34,Education (Higher Education),58300,USD,United States,District of Columbia,5-7 years,2 - 4 years,College degree,Woman,White,Executive Level
320,25-34,Nonprofits,700000,USD,United States,New York,11 - 20 years,5-7 years,College degree,Woman,White,Executive Level
321,35-44,Computing or Tech,345000,USD,United States,Massachusetts,21 - 30 years,21 - 30 years,Master's degree,Other or prefer not to answer,Another option not listed here or prefer not to answer,Mid Level
322,45-54,Computing or Tech,143000,USD,United States,Minnesota,11 - 20 years,8 - 10 years,College degree,Woman,White,Mid Level
324,25-34,Education (Higher Education),49604,USD,United Kingdom,,11 - 20 years,8 - 10 years,Master's degree,Woman,White,Mid Level
325,35-44,Computing or Tech,141000,USD,United States,Texas,11 - 20 years,11 - 20 years,College degree,Woman,White,Managerial Level
326,45-54,Engineering or Manufacturing,128499,USD,United States,Pennsylvania,21 - 30 years,21 - 30 years,College degree,Man,White,Managerial Level
327,25-34,Nonprofits,63223,USD,United States,,2 - 4 years,2 - 4 years,PhD,Woman,Another option not listed here or prefer not to answer,Managerial Level
328,35-44,Education (Higher Education),38480,USD,United States,Minnesota,11 - 20 years,5-7 years,College degree,Woman,White,Executive Level
329,35-44,Nonprofits,37000,USD,United States,Massachusetts,11 - 20 years,2 - 4 years,Master's degree,Man,White,Mid Level
330,25-34,Nonprofits,55000,USD,United States,New York,8 - 10 years,2 - 4 years,Master's degree,Woman,White,Mid Level
331,25-34,"Marketing, Advertising & PR",53500,USD,United States,Illinois,8 - 10 years,8 - 10 years,College degree,Woman,White,Executive Level
332,25-34,Government and Public Administration,49600,USD,United States,Texas,8 - 10 years,2 - 4 years,Master's degree,Woman,Asian or Asian American,Mid Level
333,25-34,Nonprofits,50000,USD,United States,Georgia,8 - 10 years,5-7 years,College degree,Woman,White,Executive Level
334,25-34,"Accounting, Banking & Finance",63500,USD,United States,Texas,11 - 20 years,2 - 4 years,Master's degree,Woman,White,Managerial Level
335,35-44,Social Work,62000,USD,United States,Illinois,11 - 20 years,8 - 10 years,Master's degree,Woman,White,Mid Level
336,25-34,Nonprofits,65000,USD,United States,California,8 - 10 years,5-7 years,College degree,Woman,White,Mid Level
337,25-34,Health care,43680,USD,United States,Massachusetts,5-7 years,2 - 4 years,College degree,Woman,White,Mid Level
338,25-34,Transport or Logistics,105000,USD,United States,Texas,5-7 years,5-7 years,College degree,Woman,White,Senior Level
339,45-54,Education (Primary/Secondary),64867,USD,United States,,21 - 30 years,21 - 30 years,College degree,Woman,White,Mid Level
340,25-34,Nonprofits,67700,USD,United States,Washington,8 - 10 years,5-7 years,College degree,Woman,White,Senior Level
341,25-34,Engineering or Manufacturing,33069,USD,United Kingdom,,2 - 4 years,2 - 4 years,Master's degree,Woman,White,Mid Level
342,25-34,Government and Public Administration,67583,USD,United States,,8 - 10 years,8 - 10 years,College degree,Woman,White,Mid Level
343,35-44,Education (Primary/Secondary),75000,USD,United States,Georgia,21 - 30 years,11 - 20 years,Master's degree,Woman,White,Mid Level
344,35-44,Nonprofits,43881,USD,United Kingdom,,11 - 20 years,11 - 20 years,College degree,Woman,White,Managerial Level
345,18-24,"Marketing, Advertising & PR",75500,USD,United States,Illinois,5-7 years,1 year or less,College degree,Woman,White,Mid Level
346,35-44,Agriculture or Forestry,87500,USD,United States,North Carolina,11 - 20 years,5-7 years,College degree,Woman,White,Managerial Level
347,25-34,Property or Construction,80000,USD,United States,Missouri,11 - 20 years,11 - 20 years,College degree,Woman,White,Mid Level
348,25-34,Media & Digital,38000,USD,United States,Massachusetts,8 - 10 years,8 - 10 years,College degree,Woman,White,Mid Level
349,25-34,Social Work,62999,USD,United States,Illinois,8 - 10 years,5-7 years,Master's degree,Woman,White,Mid Level
351,35-44,Education (Higher Education),105000,USD,United States,Connecticut,11 - 20 years,11 - 20 years,College degree,Woman,White,Managerial Level
352,45-54,Property or Construction,59000,USD,United States,,21 - 30 years,8 - 10 years,High School,Woman,White,Mid Level
353,35-44,Computing or Tech,309000,USD,United States,New York,11 - 20 years,8 - 10 years,PhD,Woman,White,Senior Level
354,35-44,"Marketing, Advertising & PR",77000,USD,United States,Connecticut,21 - 30 years,5-7 years,College degree,Woman,White,Mid Level
355,35-44,Media & Digital,55000,USD,United States,New York,11 - 20 years,11 - 20 years,College degree,Woman,White,Mid Level
356,25-34,Computing or Tech,67200,USD,United States,Wisconsin,5-7 years,2 - 4 years,Master's degree,Other or prefer not to answer,White,Mid Level
357,55-64,Health care,43500,USD,United States,Pennsylvania,21 - 30 years,11 - 20 years,College degree,Woman,White,Managerial Level
358,25-34,Engineering or Manufacturing,94000,USD,United States,Texas,5-7 years,5-7 years,College degree,Woman,"Hispanic, Latino, or Spanish origin",Mid Level
359,55-64,Government and Public Administration,173000,USD,United States,District of Columbia,21 - 30 years,21 - 30 years,Master's degree,Woman,White,Mid Level
361,25-34,Health care,125500,USD,United States,Pennsylvania,5-7 years,5-7 years,PhD,Woman,White,Mid Level
362,25-34,Computing or Tech,47962,USD,United States,,1 year or less,1 year or less,College degree,Woman,White,Junior Level
363,55-64,"Accounting, Banking & Finance",186000,USD,United States,New Jersey,31 - 40 years,31 - 40 years,College degree,Man,White,Executive Level
364,35-44,Sales,35608,USD,United States,,21 - 30 years,11 - 20 years,Some college,Woman,White,Mid Level
365,25-34,Media & Digital,51000,USD,United States,New York,5-7 years,5-7 years,College degree,Woman,White,Mid Level
366,25-34,"Accounting, Banking & Finance",62800,USD,United States,Ohio,8 - 10 years,5-7 years,College degree,Man,White,Mid Level
367,25-34,"Accounting, Banking & Finance",186000,USD,United States,Massachusetts,8 - 10 years,8 - 10 years,College degree,Woman,Asian or Asian American,Mid Level
368,35-44,Art & Design,40200,USD,United States,Michigan,11 - 20 years,11 - 20 years,College degree,Woman,White,Mid Level
369,25-34,Education (Higher Education),71750,USD,United States,Pennsylvania,8 - 10 years,8 - 10 years,Master's degree,Woman,White,Mid Level
370,35-44,Engineering or Manufacturing,70000,USD,United States,Wisconsin,8 - 10 years,2 - 4 years,Master's degree,Man,Asian or Asian American,Managerial Level
371,35-44,Business or Consulting,87000,USD,United States,Minnesota,21 - 30 years,8 - 10 years,Master's degree,Woman,White,Mid Level
372,35-44,Computing or Tech,157000,USD,United States,Colorado,21 - 30 years,21 - 30 years,College degree,Woman,White,Managerial Level
374,25-34,Nonprofits,42120,USD,United States,New Jersey,2 - 4 years,2 - 4 years,College degree,Woman,White,Senior Level
375,25-34,Business or Consulting,70000,USD,United States,District of Columbia,5-7 years,2 - 4 years,Master's degree,Woman,White,Junior Level
376,25-34,Nonprofits,85000,USD,United States,District of Columbia,8 - 10 years,8 - 10 years,College degree,Man,White,Managerial Level
